id	source	reference	greedy	beam
0	این کے سیلز بھی اسی طرح ٹیومر سیلز کو مار دیتے ہیں ، خاص طور پر اگر ٹیومر سیلز کی سطح پر معمول سے کم <ans> ایم ایچ سی کلاس I </ans> مالیکیولز ہوں۔	بہت سے ٹیومر خلیات کی سطح پر کس قسم کے مالیکیول کی تعداد کم ہوتی ہے؟	ایک این این سیلز کے ساتھ ساتھ، کون سی دوسری قسم کی کلاس کو ایک ٹیومر سیلز کی سطح پر ایک اہم عمل ہے؟	ٹیومر سیلز کی سطح پر معمول سے کم کیا ہے؟
1	کیپ میں آباد ہونے والے ہیگنوٹس کا سب سے بڑا حصہ 1688 اور 1689 کے درمیان سات جہازوں میں منظم ہجرت کے حصے کے طور پر پہنچا ، لیکن کافی دیر سے <ans> 1700 </ans> کے طور پر پہنچا۔	نئے ہیوگنوٹ کالونیوں کی تعداد کس سال کے بعد کم ہوگئی؟	کس سال میں ہیگنوٹس کا سب سے بڑا حصہ تھا؟	کس سال میں ہیگنوٹس کا سب سے بڑا حصہ تھا؟
2	ٹورنگ مشینوں کی بہت سی اقسام کو <ans> پیچیدگی کی کلاسوں </ans> کی وضاحت کرنے کے لئے استعمال کیا جاتا ہے ، جیسے تعیناتی ٹورنگ مشینیں ، امکانات ٹورنگ مشینیں ، غیر تعیناتی ٹورنگ مشینیں ، کوانٹم ٹورنگ مشینیں ، ہم آہنگ ٹورنگ مشینیں اور متبادل ٹورنگ مشینیں۔	ٹورنگ مشینیں عام طور پر کیا وضاحت کرنے کے لئے استعمال کیا جاتا ہے؟	ٹورنگ مشینیں کیا وضاحت کرتے ہیں؟	ٹورنگ مشینیں کس چیز کی وضاحت کرتے ہیں؟
3	غلطی <ans> 2010 </ans> میں دریافت کی گئی تھی ، اور ڈچ Rijkswaterstaat نے لمبائی 1,232 کلومیٹر (766 میل) کی تصدیق کی ہے۔	رائن کی پیمائش کو اصل کی طرف واپس کب درست کیا گیا؟	کس سال میں ڈچ Rijkswater کے لئے دریافت کیا گیا تھا؟	کون سا سال ڈچ Rijkswater کی طرف سے دریافت کیا گیا تھا؟
4	<ans> آخری 5-10 ملین سالوں میں </ans> ، یہ جمع ہونے والا پانی پورس آرک کے ذریعے ٹوٹ گیا ، جو بحر اوقیانوس کی طرف مشرقی بہاؤ میں شامل ہوا۔	کتنی دیر پہلے یہ تھا جب پانی Purus قوس کے ذریعے ٹوٹ گیا؟	سشپے کے لئے پانی کی طرف سے جمع ہونے والے پانی کا نام کیا تھا؟	کس سال میں پانی پورس آرک کا استعمال کیا گیا تھا؟
5	<ans> یورپی کورٹ آف جسٹس </ans> سپریم عدالتی ادارہ ہے جو یورپی یونین کے قانون کی ترجمانی کرتا ہے ، اور اسے سابقہ کے ذریعے تیار کرتا ہے۔	کون سی عدالت یورپی یونین کے قانون کی ترجمانی کرنے کے قابل ہے؟	سپریم عدالتی ادارہ کیا ہے؟	سپریم عدالتی ادارہ کیا ہے؟
6	بعد میں اسے <ans> پہلا تیل کا جھٹکا </ans> کہا گیا ، اس کے بعد 1979 کے تیل کے بحران کو دوسرا تیل کا جھٹکا کہا گیا۔	تیل کے بحران کے لئے ایک اور اصطلاح کیا استعمال کی گئی تھی؟	اس وقت کے بعد، کس قسم کے تیل کو جھٹکا دیا گیا تھا؟	جھٹکا کا نام کیا تھا؟
7	مثال کے طور پر ، ای آئی ڈو پونٹ ، لاووزیئر کے سابق طالب علم ، نے <ans> ایلتھیرین </ans> بارود کی ملیں قائم کیں۔	ڈوپونٹ کے بارود آپریشن کا نام کیا تھا؟	لاووزیئر کے سابق طالب علم نے کس قسم کی بارود کی ملیں قائم کیں؟	لاووزیئر کے سابق طالب علم کون تھے؟
8	سرحد جو وہ تشکیل دیتے ہیں وہ غیر ملکی علاقے کے ایک تیز زاویہ کو <ans> جدید بادن اور ورٹمبرگ کے درمیان </ans> بند کردیتی ہے۔	اوپری رائن اور اوپری ڈینیوب کہاں پار ہوتے ہیں؟	غیر ملکی علاقے کے ایک تیز زاویہ کو کیا کہا جاتا ہے؟	غیر ملکی علاقے کے ایک تیز زاویہ کو کیا کہا جاتا ہے؟
9	<ans> 61 </ans> فیصد سے زیادہ نجی طلباء کیتھولک اسکولوں میں تعلیم حاصل کرتے ہیں۔	پرائیویٹ اسکول کے طلباء کا کتنا فیصد کیتھولک اسکولوں میں جاتا ہے؟	کتنے فیصد طلباء کیتھولک اسکولوں میں تعلیم حاصل کرتے ہیں؟	کتنے فیصد طلباء کیتھولک اسکولوں میں تعلیم حاصل کرتے ہیں؟
